arduino1_timestamp,arduino1_temperature,arduino1_humidity,arduino1_voltage,arduino1_charge
13-05-2023 21:18:25,41.0,51.0,2.0,35.0
13-05-2023 21:18:32,70.0,4.0,3.0,31.0
13-05-2023 21:18:39,56.0,50.0,3.0,96.0
13-05-2023 21:18:46,51.0,66.0,4.0,88.0
13-05-2023 21:18:53,13.0,21.0,4.0,7.0
13-05-2023 21:19:00,88.0,65.0,3.0,91.0
13-05-2023 21:19:07,1.0,75.0,0.0,91.0
13-05-2023 21:19:14,55.0,45.0,4.0,34.0
13-05-2023 21:19:21,75.0,77.0,3.0,34.0
13-05-2023 21:19:28,39.0,8.0,1.0,10.0
13-05-2023 21:19:35,44.0,75.0,4.0,48.0
13-05-2023 21:19:42,66.0,51.0,4.0,56.0
13-05-2023 21:19:49,44.0,83.0,0.0,63.0
13-05-2023 21:19:56,76.0,24.0,0.0,29.0
13-05-2023 21:20:03,54.0,76.0,1.0,32.0
13-05-2023 21:20:10,68.0,2.0,0.0,57.0
13-05-2023 21:20:17,12.0,43.0,1.0,67.0
13-05-2023 21:20:25,45.0,78.0,1.0,19.0
13-05-2023 21:20:32,36.0,80.0,1.0,20.0
13-05-2023 21:20:39,7.0,50.0,4.0,14.0
13-05-2023 21:20:46,46.0,60.0,2.0,58.0
13-05-2023 21:20:53,82.0,42.0,0.0,32.0
13-05-2023 21:21:00,39.0,88.0,4.0,16.0
13-05-2023 21:21:07,30.0,31.0,2.0,28.0
13-05-2023 21:21:14,42.0,15.0,2.0,97.0
13-05-2023 21:21:21,21.0,79.0,4.0,35.0
13-05-2023 21:21:28,80.0,88.0,3.0,90.0
13-05-2023 21:21:35,31.0,1.0,1.0,72.0
13-05-2023 21:21:42,36.0,61.0,1.0,95.0
13-05-2023 21:21:49,58.0,54.0,3.0,1.0
13-05-2023 21:21:56,40.0,91.0,3.0,85.0
13-05-2023 21:22:03,32.0,89.0,2.0,82.0
13-05-2023 21:22:10,12.0,72.0,1.0,2.0
13-05-2023 21:22:17,6.0,35.0,4.0,14.0
13-05-2023 21:22:24,4.0,67.0,1.0,67.0
13-05-2023 21:22:31,32.0,45.0,4.0,47.0
